name,quickness
Auburn Woolly Walrus,40
Black Wolf,34
Bramblecrown Stoat,45
Bullephant,36
Coarsefur Yeti,34
Deadwood Strangler,45
Elk,30
Frosttangle Strangler,45
Glassbound Gustvul,44
Glassbound Solarvul,45
Hoarfrost Mauler,36
Longneck Hunter,35
Longneck Wanderer,45
Mammophant,36
Maned Rasa,46
Nochnyr,45
Pebblehide Stoat,45
Permafrost Impaler,45
Poultrygeist,41
Shalebuck,32
Snowfall Elk,29
Snowy Owlynx,40
Squall Rasa,49
Teardrop Owlynx,45
Treehorn Wolpertinger,45
Venerable Shalebuck,42
Winter Wolf,35
Wolpertinger,45
Woodland Turkey,45
Woolly Walrus,40
