name,quickness
Blooming Hedgehide,31
Coast Charger,35
Coastline Sawbeak,32
Dainty Wavehopper,34
Daydream Puffer,32
Deeprealm Hunter,39
Green-Breasted Sawbeak,32
Highfin Sea Serpent,35
Igueel Matriarch,31
Leopard Coralclimber,33
Maren Defender,31
Maren Sorceress,32
Maren Spearmaiden,31
Mirage Puffer,32
Mottled Sea Serpent,35
Murkbottom Gull,36
Noxious Coralclimber,33
Oceansurf Magus,30
Redfin Wavespinner,32
Riptide Clipper,31
Sandshore Snipper,31
Spiney Whale,39
Surf Strider,34
Toxic Igueel,31
Tradewinds Gull,36
Vivid Wavehopper,34
Waveswell Sorcerer,30
