name,quickness
Ancient Fungus,22
Bell Goat,32
Blue Dragon Snail,19
Blueband Duelist,36
Bramble Guardian,34
Burrow Bear,35
Cave Lantern,27
Centaur Berserker,25
Citrine Jewel,23
Corpse Cleaner,21
Creeping Cluster,27
Crimson Reef Snail,19
Cursed Bat,31
Deepmine Aardvark,30
Dire Claw,25
Djamor Bat,34
Dwarf Truffle,13
Emerald Jewel,29
Ostreatus Bat,34
Parasitic Fungus,21
Peacevine Aardvark,30
Polarized Bell Goat,32
Runic Bat,21
Stonestomp Spearmaiden,32
Swiftfoot Slayer,25
Swiftstride Soldier,32
Venomblade Assassin,35
