name,quickness
Ampelope,30
Condorwing Champion,33
Coursing Skira,30
Dire Vulture,30
Dustfeather Sphinx,29
Falconclaw Warrior,31
Flesh Forager,30
Golden Lionsnake,30
Grassland Skira,29
Greattusk,35
Heckling Hydrena,30
King Quillrunner,36
Magpie Sphinx,30
Pale Greattusk,30
Plainstrider Bard,30
Quillrunner,34
Rabid Grinfin,30
Raptorik Herder,30
Raptorik Wanderer,30
Rockback Charger,38
Roundhorn Rager,33
Roving Lionsnake,30
Starry Ampelope,33
Thunderstomp,37
Unburdened Billy,30
Wintermane Minstrel,30
