name,quickness
Armored Duskflapper,43
Ashscale Ophiotaurus,36
Ashspine Widow,40
Basalt Vent Hop,42
Chillwind Harpy,41
Dreadram,39
Fiendcat,39
Firebelly Weaver,40
Firemane Manticore,40
Flamerest Fiendcat,39
Flamescale Illusionist,42
Flamescale Lancer,42
Flamescale Spearman,43
Flamescale Venomcaster,43
Ghost Manticore,41
Hydra,50
Ignited Imp,49
Magma Runner,41
Nightfall Imp,49
Ophiotaurus,36
Serthis Archivist,39
Serthis Loremaster,40
Spectral Duskflapper,44
Stormcloud Harpy,42
Tunnel Hydra,50
Ultraram,38
