name,quickness
Blueridge Greatshell,26
Brown River Flight,35
Crested River Flight,37
Cumulus Seal,22
Dappled Seal,21
Everglade Lasher,32
Fanrat,37
Ghostly Rat Lord,40
Giant White Toridae,32
Goldfin River Flight,37
Granite Thresher,30
Greater Sandstrike,27
Grey River Flight,37
Maren Currentfinder,32
Maren Shark Hunter,37
Noggle,34
Radioactive Slime,31
Rainbow Sprite,38
Rat King,40
River Muck,29
Scaleside Noggle,32
Scarlet Flycatcher,37
Sewer Toridae,32
Shale Thresher,32
Silky Fanrat,37
Sludge Sifter,35
Sunset Lasher,39
