name,quickness
Black Iron Creeper,55
Chromefeather Lookout,63
Clattercog Engineer,55
Construction Mith,55
Coppercoil Creeper,55
Copperplate Longmech,56
Frost Delver,55
Gearspring Pocketmouse,55
Geartoggle Smith,55
Jelly Drone,60
Longmech,56
Mechanical Destroyer,60
Mistral Minion,68
Monkey Wrench,56
Robotic Tender,60
Scrapmetal Tracker,56
Sentinel Mith,56
Sentry Squawker,56
Spellbound Golem,68
Steelhound,56
Stone Borer,55
Swift Lumen,63
Swift Volt,63
Tribeam Hunter,64
Tribeam Lurker,64
War Smith,55
Wind-Up Pocketmouse,55
Workshop Monitor,60
